,text
10,
11,Tôi đã có 1 đêm khá thoải mái tại Renaissance. Khách sạn đã chuẩn bị 1 phần bánh honeymoon rất rất ngon và tôi cảm kích về điều đó.Khách sạn đã qua nhiều năm sử dụng với nội thất cổ điển nhưng sảnh chính được thiết kế rất hiện đại. Vị trí quá tuyệt vời để đi dạo đâu đó!
12,"1 trải nghiệm tuyệt vời và quý giá, không gian sang trọng và sạch sẽ. Nhân viên thân thiện và sẵn sàng giúp đỡ, đặc biệt là cô Gray đã tiếp đón chúng tôi trong thời gian qua. Đây thực sự là nơi lý tưởng để nghỉ ngơi và thư giãn. Chắc chắn rằng tôi sẽ trở lại đây cùng với gia đình mình."
13,"đồ ăn rất hợp khẩu vị, phục vụ tốt,khung cảnh đẹp và mát mẻ. Không gian rất hợp với bữa tiệc, rất vui tươi và mới mẻ. Ánh sáng đẹp chụp hình đẹp. hôm nay là một trải nghiệm tuyệt vời của tôi ở khách sạn. bầu không khí rất tuyệt tạo cảm giác thân mật gia đình ấm cúng"
14,"Một nơi rất lý tưởng để lưu trú khi đến HCM. Tất cả nhân viên trong khách sạn đều thân thiện, nhiệt tình đặc biệt là các bạn ở Club Lounge. Có bạn SuSu (wk) làm đồ ăn rất ngon và luôn luôn nhiệt tình phục vụ thức ăn cho gia đình mình. Rất cảm ơn khách sạn và đội ngũ nhân viên đã đem đến cho mình trải nghiệm rất là hài lòng, sẽ quay lại khi có cơ hội ❤️❤️"
15,"Cùng gia đình dùng trà chiều, ngắm nhìn thành phố thật nhộn nhịp và sôi động. Thưởng thức trà và cà phê thật ngon. Nhân viên phục vụ vui vẻ, nhiệt tình đặc biệt là hai bạn Linh và Hương.   Không gian quán rất đẹp, sang trọng. Nhiều loại bánh ngon và trang trí bắt mắt."
16,"Taro and Nguyen serving here are very warm and cheerful, the space here is very comfortable, the drinks here are delicious and beautifully decorated, the staff always smiles at customers."
17,"Service quality is good, especially the support staff - Ms. Ngoc has provided very enthusiastic and thoughtful support. Thank you Ms. Ngoc for always following the event closely and providing timely and quick support to help the program run smoothly. Hope to have the opportunity to return to Renaissance in the future and continue to receive support from Ms Ngoc"
18,"The smoothies here are very delicious, the space is very cozy and chill!!! Jade is enthusiastic, cute, the experience is extremely wonderful, indescribable, so lovely, so like it and will definitely come back, so come and experience!!! Other drinks are also very delicious!!! Loveeeeeee"
19,"Dat staff at Rbar created an extremely memorable experience for me at Renaissance Hotel. Not only is he trustworthy and professional, but he is also extremely friendly and enthusiastic. Dat is always willing to advise and meet all customer needs with great spirit and inspiration. His service exceeded my expectations and I had a truly enjoyable evening at Rbar thanks to Dat's dedicated service. I will definitely be back and encourage everyone to visit Rbar to meet great staff like Dat."
20,"Arriving at rbar the day before Christmas, I happened to be walking around and saw that inside the hotel there was a bar and acoustic music so I stopped by to check it out. I had a cocktail and was invited by Long the bartender at the counter to have a cocktail for Christmas, it tasted quite good. In addition, other friends like Ngoc, Phuong and Nhi also chatted which made me feel very happy. Have a holly jolly Christmas!!!"
21,"The bar atmosphere is cozy and quiet. Ms. Nhi is enthusiastic, friendly and cheerful with everyone. The price is suitable for the price. Luxurious and suitable facilities. Drinks are very delicious, there are many types to choose from for each group of people"
22,"Beautiful hotel, warm atmosphere, enthusiastic and cute staff, 10 VND for service. Especially Mr. Dat always takes care of guests when needed. If he has the opportunity to visit, he will definitely choose the hotel for the next time"
23,"I felt very great when I arrived at the hotel. I went to the bar and felt that the staff were very enthusiastic, especially Ms. Nhi, who was enthusiastic in giving advice. The drinks are also delicious and the space is spacious and airy. Will come next time"
24,"I have a meeting with a client at the Renaissance Hotel. The quiet space is suitable for business meetings, the drinks and service from the staff at the Rbar coffee bar in the hotel lobby are very good. Thank you, staff Linh, for serving us wholeheartedly. Will come back often and stay here if given the opportunity."
25,"Enthusiastic support staff, attentive service, great customer support, clean and luxurious food. Prime location, right in the heart of District 1. Will recommend to friends and colleagues to visit the hotel and restaurant."
26,Thank you to the service staff for your enthusiastic and timely support throughout the meeting when additional problems arose. Food and drinks were carefully prepared for attendees. The room was fully equipped to serve guests. meeting service
27,The hotel's staff are always on hand to assist with meeting issues so that meetings can take place smoothly. Great food and drinks and attentive and cheerful staff. Will come back in the future
28,"My meeting today at the Renaissance Hotel was truly wonderful. The meeting was carefully prepared, with a view of the city center. The food also suits my taste. In particular, what makes me most satisfied is the great care from the staff. If I have a chance, I will definitely come back here"
29,"Today, I have a meeting at the Renaissance Riverside Saigon hotel. I feel very satisfied with the food, drinks and service style of the staff at the hotel. If I have the chance, I will definitely come back to experience it."
30,"Thái độ phục vụ tốt, nhân viên nhiệt tình, chu đáo. Luôn hỗ trợ đáp ứng các yêu cầu cho chúng tôi một cách tốt nhất về mặt kỹ thuật hay phục vụView phòng họp đẹp, không gian rộng rãi, thoáng mát, sạch sẽ"
31,"Phòng họp view đẹp , mát .Các bạn nhân viên phục vụ , hỗ trợ nhiệt tình vui vẻ từ lúc mình đến tạo cho mình và các thành viên trong nhóm cảm giác thoải mái ở đây ,  các món ăn trưa và giờ giải lao rất ngon miệng"
32,"Mình dc nâng cấp lên phòng hướng sông view của phòng rất tuyệt vời. Cảm ơn bạn JAX, anh Khang đã rất nhiệt tình và chu đáo. Mình sẽ quay lại đây vào lần tới. Cảm ơn các bạn rất nhiều. Thank you so much"
33,"Team banquet rất nhiêt tình và phối hợp với team events của công ty mình rất nhanh nhẹn và chu đáo. Mọi người rất vui vẻ khi có những trường hợp bất ngờ xãy đến và giải quyết rất nhanh chóng. Đặc biệt là: Nhật, Trâm, Trinh, Nghi, Tính."
34,"Nhân viên  của  khách sạn hỗ trợ nhiệt tình , phuc vụ tốt trong buổi họp hôm nay , khi tôi đến sớm được các bạn nhân viên mời cà phê và trà  các món ăn buổi sáng và buổi  rất ngon được trang trí đẹp ."
35,"Tôi có một cuộc họp được diễn ra tại khách sạn Renaissance Reverside. Ấn tượng đầu tiên khi thấy sự phục vụ chu đáo, cẩn thận của các nhân viên: Trâm, Thanh, Hoài. Các bạn quan tâm khách từ lúc mới tới đến khi ra về. Ngoài ra tôi cũng thấy rất hài lòng về đồ ăn cũng như buổi họp được chuẩn bị chu đáo."
36,"Các món ăn nhẹ giữa giờ họp và buổi ở đây rất ngon và trang trí rất đẹp , phòng họp thoáng mát có view bờ sông sài gòn đẹp , nhân viên khách sạn thân thiện nhiệt tình phục vụ tốt trong thời gian diễn ra"
37,"Phục vụ tốt, nhân viên dễ thương, đồ ăn ngon và phong phú, đa dạng với nhiều sự lựa chọn. Nhân viên vui vẻ hoà đồng. Không gian sang trọng, tráng lệ. Các dịch vụ/ tiện ích của khách sạn cũng tốt. Hầu như đều đồ mới. Lịch sự và sẽ quay trở lại sớm. Rất tốt."
38,"Vào ngày cuối tuần, mình đến renaissace uống nước. Nước rất ngon, nhân viên Nhi, Phương, Mocha nhiệt tình, dễ thương, nhạc saxophone hay, không gian sạch sẽMình rất thích món capuchino ở đây, giá tiền cũng phù hợp."
39,"Đồ uống tạm được. Bánh hơi ngọt và dâu tây không được tươi - mình dùng ở Lobby Lounge. Nhân viên trên tầng 21 hồ bơi không thân thiện , lúc mình lên được welcome bởi anh nhân viên người nước ngoài, nhưng vì chắc do bận nên không tiếp nên mình xuống lobby dùng nước. Nhân viên chu đáo nhiệt tình."
40,"Hôm nay tôi có một cuộc họp tại khách sạn, tôi cảm thấy thái độ nhân viên rất tốt, luôn take care tới khách hàng. Trạng thái luôn vui vẻ, nhiệt tình. Tôi cảm thấy hài lòng về các dịch vụ tại khách sạn"
41,"Không gian quầy bar sang trọng , view chụp hình sống ảo đẹp , nhân viên vui vẻ  phục vụ nhiệt tình chu đáo . Các món bánh trà chiều được bày trí đẹp và rất ngon .Tại đây tôi được My tư vấn cho món cocktail mới của khách sạn ""Melbpresso"" -  so good . Tôi sẽ quay trở lại đây cùng gia đình và bạn bè"
42,Hôm nay tôi may mắn được trải nghiệm một loại cocktail mới từ Bartender tại Pool Bar Renaissance. Nam đã làm cho tôi món mà anh ấy đã sáng tạo ra để tặng tôi. Cảm ơn Nam và team đã phục vụ rất tốt và nhiệt tình. Khách sạn rất sạch dù đã xây dựng rất lâu đời.Tôi sẽ quay lại khi có cơ hội.
43,Sự kiện VIB ở KS Renaisssance hotelĐồ ăn vừa vị. Không gian thoáng mát v sạch đẹp và sang trọng. Thích hợp để tổ chức những buổi Sự kiện v workshop. Nhân viên ân cần chu đáo v rất lịch sự. Tôi thật sự rất hài lòng
44,Hôm nay tôi có tham dự giải đấu golf 2023 và được trải nghiệm món moctail Melbpresso của ks Renaissance vị hơi nhạt nhưng hậu đắng vị ngọt và thơm mùi của Kahlua.Hai bạn nhân viên nhiệt tình hỗ trợ là Khang và Khương
45,"Đội ngũ tuyệt vời tại RBar; Châu, Linh, Vy, Phương thực sự hoàn thành một ngày của tôi sau giờ làm việc căng thẳng. Mọi người mang năng lượng tích cực, năng động và thấu cảm mang lại tiếng cười chữa lành tâm trí tôi. Không gian và âm nhạc, tạo không khí phù hợp để thư giãn sau một ngày làm việc"
46,"Trải nghiệm tiệc trà rất tuyệt, các bạn nhân viên Nhật, Trâm, Thanh, ……………. rất dễ thương chu đáo và chuyên nghiệp, không gian lãng mạn,………… trà ngon bánh ngon và tranh rất đẹp các bạn nhân viên bên Méo hỗ trợ nhiệt tình"
47,"Nhân viên vui vẻ, nhiệt tình. Ly cafe có phần đặc biệt với 1 ký tự tên của khách hàng. Không gian đẹp. Có ca nhạc thư giãn. Cảm ơn Vy, Thanh và Châu vì 1 buổi tối vui vẻ. Có tivi chiếu trực tiếp world cup."
48,"Ấn tượng đầu tiên là phòng tiệc có  2 view Thành phố và bến bạch đằng chụp hình rất đẹp , không gian nhìn rất sang trọng , đồ ăn thì tuyệt vời món nào cũng ngon Nhân viên phục vụ tận tình chu đáo , cảm ơn Thái Thanh , Trung Tính và Phước"
49,"Đồ ăn tươi ngon, dịch vụ chăm sóc khách hàng tốt. Nhân viên rất nhiệt tình và luôn có mặt. Khách sạn view đẹp và nằm ở trung tâm, rất phù hợp. Bạn Khương, Thanh, Tính, Âu phục vụ rất nhiệt tình, luôn chăm sóc khách hàng tốt trong buổi hội thảo và trong thời gian tea break."
50,"Phục vụ nhiệt tình, chăm sóc khách hàng tốt trong suốt quá trình diễn ra hội thảo. Thức ăn cho buổi tea break rất ngon, được phục vụ đúng giờ. Đặc biệt là ba bạn Khương, Phú,Âu đã take care khách hàng rất tốt trong thời gian diễn ra hội thảo cũng như trong các buổi tea break."
51,"Buổi chiều vui vẻ tại quầy bar  khách sạn Renaissance. Không gian ấm áp, thực đơn nước đa dạng ngoài ra còn có snack menu. Nhân viên nhiệt tình vui vẻ và thân thiện. Dịch vụ tuyệt vời.Rất cảm ơn các bạn Jade, Linh, Hân, Vy"
52,"Không gian đẹp , âm thanh ánh sáng tuyệt vời , các bạn nhân viên support tốt: Linh, Nhi, Hân, Long, ThanhĐồ uống và thức ăn ngon tối hôm qua mình đã có một đêm tuyệt vời tại Rbar của khách sạn Renaissance River Hotel Sài Gòn"
53,"Thanks Renaissance River Hotel Sai Gon đã mang đến  những món ăn ngon tại BIS Các bạn nhân viên làm tôi rất hài lòng , tuyệt vời , hỗ trợ các bé rất nhiệt tình: Trâm, Thanh Nhi, PhướcCẢM ƠN TẤT CẢ CÁC BẠN"
54,"Nằm ngay trung tâm Sài Gòn , không gian thoáng mát , yên tĩnh phù hợp là nơi gặp gỡ bạn bè vào chủ nhật . Các món ăn nhẹ được trang trí đẹp và rất ngon , tôi rất thích cafe ở Rbar . Nhân viên Linh, Hân , Yến Nhi , My , Vy thân thiện vui vẻ , phục vụ rất tốt."
55,"Vào cuối tuần mình thường uống Latte tại sảnh khách sạn Renaissance. Cùng với chiếc bánh lá dứa rất ngon. Không gian thoáng mát và thoải mái. Ngoài ra còn rất yên tĩnh. Cảm ơn bạn Nhi và Hân, Vy, Linh đã phục vụ mình rất tốt. Mình sẽ quay trở lại đây thường xuyên."
56,"All nhân viên ở khách sạn Renaissance rất vui vẻ và nhiệt tình. Khi đến đây tôi được bạn Thanh và team ""Yến Nhi, Thanh Vy, Âu, Tính, Taro, My, Minh Nhật, Vinh' hỗ trợ rất nhiều trong lúc workshop diễn ra."
57,"Khách sạn hỗ trợ rất nhiệt tình cho ban tổ chức , trang thiết bị đầy đủ , không gian và view chụp ảnh rất đẹp , cảm ơn Thanh hỗ trợ kĩ thuật âm thanh và team banquet Âu , Tính , Yến Nhi , Minh Nhật rất nhiều ."
58,"Sự kiện tại lầu 5 khách sạn Renaissance , được khách sạn hỗ trợ từ âm thanh , ánh sáng đến máy chiếu.Cảm ơn nhân viên Thanh , Tính , Âu, My , Yến Nhi , Minh Nhật đã hỗ trợ nhiệt tình để buổi workshop diễn ra thành công."
59,"Tôi đến tham dự event ở khách sạn Renaissance tôi thấy không gian ở đây ấm áp với viếng trời cao thoáng mát với sự hỗ trợ từ nhân viên Banquet. Cảm ơn các bạn Vy, Thanh, Phương, Trâm, Âu, Yến Nhi, Tính, Nhật rất nhiều"
60,"Không gian khách sạn rộng rãi, sang trọng theo phong cách phương Tây , mát mẻ, đẹp đẽ, sạch sẽ. Nhân viên nhiệt tình, phục vụ chu đáo, nghiêm túc với công việcEmployee name: Vy, Thanh, Yến Nhi, Tính, Trâm, Nhật, My"
61,"Hôm nay ghé Renaissance sài gòn để tham gia sự kiện của Tiktok. Khách sạn đẹp, sạch sẽ, chuyên nghiệp. Nhân viên banquet Vy, Âu, Thanh, Yến Nhi, Tính, Minh Nhật, Trâm rất chu đáo, chăm sóc tận tình. Highly recommend mọi người trải nghiệm nha"
62,"Dịch vụ tốt, địa điểm khá thoáng, view rất đẹp và không gian sảnh ấn tượng khác biệt với các khách sạn khác. Nhân viên bên khách sạn rất thân thiện, nhiệt tình luoin hỗ trợ bên mình để có buổi workshop thành công. Cảm ơn Thanh, Âu, My, Vy, Yến Nhi,…. rất nhiều nha."
63,"Hôm nay mình có một buổi workshop mặt tại lầu 5 của khách sạn. Không gian rất thoáng, ấm áp. mọt thứ đều được chuẩn bị rất tốt. hình ảnh, âm thanh,.. Các bạn nhân viên của bên khách san nhiệt tình, cám ơn Thanh và các bạn Âu, Vy, Yến Nhi cùng cả team đã hỗ trợ chúng mình."
64,"Không gian sang trọng, thiết kế độc đáo, dịch vụ tốt. Các bạn nhân viên ( Tính,Yến Nhi, Thanh, Vy , Âu, My, Trâm) rất nhiệt tình, thân thiện và luôn hỗ trợ tôi mỗi khi tôi cần. Renaissance sẽ là sự lựa chọn của tôi. Mãi yêu team banquet❤️"
65,"Tôi được tham gia event ở Renaissance với không gian viếng trời thật thoải mái cùng với sự phục vục tận tình, vui vẻ của các bạn nhân viên Vy, My, Thanh, Phương, Âu, Trâm, Minh Nhật, Tính,Yến NhiThanks"
66,"Không gian được bày trí rất đẹp có view chụp hình sống ảo rất tuyệt . Đội ngũ kĩ thuật và nhân viên hỗ trợ event rất nhiệt tình , cảm ơn các bạn Âu , Trung Nhật , Minh Nhật , Âu , Thanh , Yến Nhi , Mỹ rất nhiều"
67,"Event NEXT GEN INFUENCERS tại khách sạn Renaissance diễn ra thành công , được hỗ trợ từ âm thanh ánh sáng đến màn hình chiếu .Nhân viên Thanh , Vũ , Yến Nhi ,Âu , Trâm , Tính , Minh Nhật hỗ trợ nhiệt tình trong event"
68,"Đăng, Thành, Nghi, Khương, My, Sơn, Phương, Tính. Cảm ơn các bạn trong buổi tối hôm nay phục vụ tân tình và vui vẻ. Đồ ăn ngon nhạc hay không gian sang trọng. Lần tới sẽ giới thiệu bạn bè và gia đình ghé đến"
69,"Cảm ơn Đăng, Thành, Nghi, Phước, Sơn, Tính, Vinh, My, Sơn phục vụ nhiệt tìnhĐồ ăn ngon , vừa miệng, phục vụ nhiệt tình, vui vẻ , thân thiện, nhà hàng cao cấp, không gian sang trọng, sẽ giới thiệu bạn bè"
70,"Lần đầu tiên tham dự cuộc họp tại khách sạn Renaissance, tôi rất ứng tượng bởi không gian tại Rbar ở sảnh, thức uống rất ngon và nhân viên cực kì nhiệt tình đặc biệt cảm ơn Linh, Vy và Thanh. Không gian phòng họp thoáng đảng và chuyên nghiệp được phục vụ bởi các bạn Trâm, Tính,Vinh. Cảm ơn các bạn rất nhiều"
71,"Không gian đẹp , ấm cúng , phu hợp với trò chuyện gia đình , công việc Thức uống ngon , đồ ăn ngon , phục vụ tốtCảm ơn bạn Mỹ Linh và Thanh Vy và Thanh đã phục vụ mình tốt.Mình sẽ ghé lại và thưởng thức những món khác"
72,"Đồ ăn trang trí đẹp ,món nào cũng rất ngon và rất tuyệt vời cùng với rượu vang , nhân viên  tiệc chuyên nghiệp, tận tình chu đáo , các bạn Tính , My , Âu , Thanh ,Yến Nhi ,Trâm ,phục vụ rất tốt cả buổi tiệc."
73,"Hôm nay tôi có dịp được dự cuộc họp Seko meeting WE ARE ALL ONE Không gian tuyệt vời, mùi hương thơm … Các bạn nhân viên NICE: Hoàng Phương, Bảo Trâm, Trung Tính, Quang Vinh, Trà My Cảm ơn tất cả các bạn"
74,"Tôi rất hài lòng về không gian của phòng tiệc, có view đẹp, các bạn staff rất nhiệt tình, hỗ trợ chúng tôi setup  rất nhiều, take care rất tốt, rất mong dinner tối nay thành công tốt đẹp, cảm ơn các bạn staff Long, Trâm, Tính, Vinh, Hoàng đã hỗ trợ"
75,"Cảm ơn Thanh, Phước, Âu, My, Minh Nhật đã hỗ trợ tụi mình setup họp, tiệc tối và chuẩn bị teabreak trong hai ngày qua. View phòng họp rất đẹp  có thể nhìn ra cả sôn và thành phố. Đồ ăn ngon và phục vụ tốt. Cám ơn vì tất cả mọi người đã hỗ trợ tụi mình."
76,"Không gian được trang trí sang trọng, sạch sẽ, thoải mái.Các bạn nhân viên rất niềm nở với khách, phục vụ chuyên nghiệp.Cảm ơn các bạn nhân viên Hoàng, Tính, Phương, Trâm, Thanh Nhi đã hỗ trợ mình rất nhiệt tình và thân thiện."
77,"Đội ngũ nhân viên nhiệt tình đặc biệt là Vinh, Tính, Trâm, Hoàng, cảm ơn tất cả các bạn đã take care trong thời gian làm việc của chúng tôi, lần sau chắc chắn chúng toii sẽ quay lại và làm việc cùng với các bạn. Thanks for all!!!"
78,"Không gian đẹp mắt và sang trọng để trải nghiệm. Cùng với đó là đồ ăn phục vụ khá bắ mắt và hợp khẩu vị cho nhiều người dùng trong buổi tiệc. Nhân viên thân thiện nhiệt tình giúp đỡ khách. Đặc biệt cám ơn các bạn Tính,  Phương, Hoàng, Trâm, Thanh Nhi"
79,"Đồ ăn ngon, bắt mắt. Không gian sang trọng, thoải mái để chụp ảnh và tiếp khách. Không khí thoải mái. Nhân viên nhiệt tình. Không có gì chê trách. Đặc biệt cảm ơn các bạn nhân viên Phương, Tính, Hoàng, Trâm, Thanh Nhi"
80,"Tôi rất rất hài lòng về dịch vụ tại đây, đồ ăn Break ngon và đẹp, không gian rộng rãi, thoáng, có tầm nhìn đẹp, các bạn nhân viên rất nhiệt tình, hỗ trợ rất tốt, take care khách kỹ hơn các khách sạn khác tôi từng đi, cảm ơn Vinh, Trâm, Tính services  tôi ngày hôm nay!"
81,"Khách sạn có view đẹp , dịch vụ tuyệt vời, thức ăn và nước uống rất ngon , sẽ quay lại khách sạn 1 lần nữa . Đặc biệt cảm ơn các bạn nhân viên Nhi, Thái , Thanh, Vy, Hân đã hổ trợ nhiệt tình trong thời gian cư trú ở khách sạn"
82,"Không gian tĩnh nhạc nhẹ nhàng thích hợp cho việc độc sách và thư giản nhân viên ở Rbar rất nhiệt tình và vui vẻ họ luôn hỗ trợ tui trong việc chọn thức uống và giới thiệu tui những địa điểm để vui chơi và trải nghiệm ở Sài Gòn . Đặc biệt cảm ơn Nhi,Thái Thanh,Vy, tôi sẻ quay trở lại một lần nữa trong một ngày gần nhất để thưởng thức dịch vụ và gặp gỡ nhân viên ở đây họ rất nhiệt tình và chu đáo họ cư sử rất vui vẻ quà hoà đồng làm cho tôi có cảm giác đã được gặp họ rất nhiều lần cảm giác rất là quen thuộc."
83,"Phòng họp đầy đủ tiện nghi , có hỗ trợ kĩ thuật âm thanh và máy chiếu cho meeting , bánh ngọt và trái cây rất ngon , cà phê thì đậm vị .Các bạn nhân viên Tính , Thanh ,My ,Yến Nhi , Nhật , Jade phục vụ tốt và chu đáo"
84,"Đồ ăn ngon bắt mắt, không gian sang trọng, thoáng mát được trang trí rất đẹp, lấp lánh, ban nhạc rất hay, các bạn service rất tốt, luôn luôn để ý quan tâm khách hàng, cảm ơn các bạn Tính, Phương, Trâm, Vinh, Thanh, Hoàng, Thanh Nhi"
85,"mot dem tuyet voi tai atrium renaissance hotel saigonomg so littttttttttt khong gian sang trong tuyet voi hoa quyen voi do an ngon ruou thom vaf dac biet la su phuc vu nhiet tinh tan tam tu cac ban nhan vien: Hoang Phuong , Bao Tram , Thanh Nhi, Quang Vinh, Trung Tinh va a vesst do siu de thuong Mr Lukas"
86,"Khách sạn có không gian thoáng mát, đồ ăn rất rất rất ngon, có band nhạc đàn hát rất chill, team phục vụ rất nhiệt tình và tận tâm, cảm ơn tất cả các bạn ngày hôm nay khiến tôi rất vui vẻ đặc biệt là Tính, Thanh, Phương, Hoàng, Vinh, Trâm!!!"
87,"Nice and good services. Thức ăn ngon. Nhân viên pjujc vụ nhiệt fifnh. Không gian khách sạn thoáng máy. Nhạc hay. Cam onncac bạn nhan vien team banquet Tính. Thanh, Phương, Trâm. Vinh, Hoàng, thx you for all"
88,"Mình là khách dự tiệc Forbes Women's hôm nay, không gian đẹp cực kiểu cổ điển mình rất thích, mang lại cảm giác ấm áp. Nhân viên rất nhiệt tình nhé gọi hay cần gì sẽ có ngay mà lại còn nhiệt tình thân thiện, lúc nào cũng vui cười ạ đặc biệt Thanh Nhi, Tính, Trâm, Vinh !!! Sẽ quay lại"
89,"Tiệc dinner tại khách sạn Renaissance Riverside Hotel Saigon thật tuyệt vời. Tôi được sự hỗ trợ nhiệt tình của các bạn Phương, Trâm, Thanh Nhi, Tính, Vinh. Dịch vụ của các bạn rất tốt, tôi sẽ quay lại thêm nhiều lần nữa."
90,"Cảm ơn team Banquet đã support Dinner tốt, siêu nhiệt tình , các bạn nhân viên siêu dễ thương: Quang Vinh, Trung Tính, Hoàng Phương, Bảo Trâm Cảm ơn tất cả các bạn đã cho mình một đêm thật tuyệt vời ở đây nhá 🫶🏻"
91,"Tối nay tôi dự  1 buổi tiệc của Forbes, tôi được thưởng thức những món ăn của khách sạn Renaissance. Tôi thấy thức ăn rất ngon và nhân viên phục vụ nhiệt tình, luôn hỗ trợ hết mình, Trâm, Tính, Vinh, Phương và Hoàng cảm ơn các bạn rất nhiều"
92,"Không gian sang trọng được setup theo tông màu đen huyền ảo , thiết kế giếng trời rất đẹp , món ăn đa dạng rất ngon Cảm ơn các bạn nhân viên Tính , Phương ,Thanh ,My , Yến Nhi , Âu đã phục vụ tận tình chu đáo."
93,"Châu, Sơn , Long, Thanh, Han, Vy phục vụ tốt, rất thân thiệt vui vẻ và nhiệt tình với khách. Tôi gọi nước rất nhanh đã có. Cà phê ở đây rất ngon và đặc biệt được châu vẻ hình rất đáng yêu. Sẽ quay lại và giới thiệu thêm bạn bè"
