JbGkU,orRIx
Trải nghiệm ở Havana Nha Trang,"Khách sạn Havana Nha Trang, nằm ngay trên đại lộ Trần Phú, là một trong những khách sạn nổi bật và sang trọng bậc nhất của thành phố biển Nha Trang. Với vị trí đắc địa, khách sạn này mang đến cho du khách một tầm nhìn tuyệt đẹp ra biển xanh và dễ dàng tiếp cận các điểm du lịch nổi tiếng.Phòng ốc tại Havana Nha Trang rất đa dạng, từ phòng tiêu chuẩn đến các suite sang trọng. Mỗi phòng đều được trang bị đầy đủ tiện nghi hiện đại như giường ngủ êm ái, TV màn hình phẳng, minibar và két sắt. Đặc biệt, hầu hết các phòng đều có ban công riêng, cho phép khách hàng thư giãn và ngắm nhìn toàn cảnh vịnh Nha Trang. Phòng tắm rộng rãi, sạch sẽ với vòi sen và bồn tắm riêng biệt, cùng các sản phẩm chăm sóc cá nhân cao cấp.Nhân viên tại Havana Nha Trang rất chuyên nghiệp và nhiệt tình. Từ lễ tân đến nhân viên phục vụ phòng, mọi người đều thân thiện và sẵn lòng hỗ trợ khách hàng. Dịch vụ phòng nhanh chóng và hiệu quả, đảm bảo đáp ứng mọi nhu cầu của khách.Havana Nha Trang còn nổi bật với hệ thống nhà hàng và quầy bar phong phú. Nhà hàng buffet phục vụ bữa sáng đa dạng với nhiều món ăn ngon, từ ẩm thực Việt Nam đến quốc tế. Quầy bar trên tầng thượng là một điểm đến lý tưởng để thư giãn và thưởng thức cocktail, với tầm nhìn toàn cảnh thành phố và biển.Về tiện ích, khách sạn có hồ bơi ngoài trời rộng lớn, phòng tập thể dục hiện đại và spa cao cấp, giúp khách hàng thư giãn và giữ gìn sức khỏe. Khách sạn cũng cung cấp dịch vụ đưa đón sân bay, cho thuê xe và tổ chức tour du lịch, rất tiện lợi cho việc di chuyển và khám phá thành phố.Một điểm trừ nhỏ của khách sạn là giá cả khá cao so với một số khách sạn khác trong khu vực. Tuy nhiên, với những trải nghiệm và dịch vụ tuyệt vời mà Havana Nha Trang mang lại, chi phí này hoàn toàn xứng đáng.Tóm lại, Havana Nha Trang là một lựa chọn lý tưởng cho kỳ nghỉ hoặc chuyến công tác tại Nha Trang. Với vị trí thuận lợi, phòng ốc sang trọng, dịch vụ chất lượng cao và nhiều tiện ích hấp dẫn, khách sạn này đã mang đến cho tôi một kỳ nghỉ đáng nhớ."
Tốt,"Khách sạn lớn, nằm ngay trung tâm thành phố, đủ tiện nghi, có đường hầm ra biển nên an toàn cho nhà có bé, phòng ốc rộng rãi sạch sẽ, nhân viên nhiệt tình, thân thiện. Bữa sáng đa dạng món. Biển Nha Trang mùa này nắng đẹp, phù hợp để đi nghỉ mát cùng gia đình"
Đáng giá,"Tôi ở Nha Trang và hay đặt Havana ở vào mỗi dịp có bắn pháo hoa ở quảng trường cạnh ksanView tuyệt đỉnh.Phòng rộng rãi và rất tiện nghi. An toàn cho con trẻ. Con chúng tôi nói là chuyển vào Havana sống luôn thì tốt . 😊Đồ ăn cũng rất hợp khẩu vị, nếu so sánh một số nơi cao cấp thì ở đây họ sẽ phục vụ bạn hài lòng từ bên trong, vì đôi khi nhìn kiến trúc bạn sẽ không thích lắm"
Great holiday,"A great experience with the family. Fully equipped hotel with romantic sea view. Service, quality ok. Location right in the city center, close to the sea, very convenient for entertainment and dining activities. Will come back if I have a chance to come to Nha Trang again."
"If you want to have fun traveling to Vietnam, go to Havana!","The facilities are also good, in front is the beach so it is very airy! As soon as I walked in, the service was good and very friendly! Even though it's before entering the dormitory, it will probably be very neat and satisfying! I've been waiting for the swimming pool! The facilities are very good so I will visit again next time. Thank you ~"
Havana,"Beautiful hotel, good service, reasonable price, I think everyone should refer to Havana hotel when coming to Nha Trang to experience it."
"Experience staying at Havana Nha Trang hotel, and the hotel's services, conveniently located in the heart of NTg city","Attentive service, clean, airy hotel room, beautiful view, central location, convenient for moving and going out, very convenient tunnel through the sea. Near shopping centers, restaurants, bars. Spacious parking lot, rooftop terrace with beautiful outdoor bar"
Extremely luxurious experience,"The room is very beautiful, the sea view is very chill. I stayed for 3 days and felt very positive about this place. Staff are extremely friendly. There is a tunnel leading to the beach, which is very convenient for tourists to avoid having to cross a road full of cars. Very suitable for people who do business, go on vacation, or go to school or go out like me. In short, very great. In the future I will definitely come back again"
Perfect hotel,"How wonderfulAs soon as I arrived, I was greeted by the staff at the hotel. The hotel is located right in the center so it is very convenient to travel. Next time I will definitely come back, the staff here are very friendly."
Experience,"The door service staff is very polite, cheerful and cute. 😄😄Receptionists serve cheerfully and enthusiastically, resolving everything in a peaceful, clear and friendly manner. 👍👍👍Hopefully the 3 days of experience at HAVANA will be an enjoyable summer vacation for your whole family. 😍🥰😘"
First time experiencing service at Havana Hotel,"The first time I traveled to Nha Trang, I was confused because there were many accommodation options. Finally chose Havana to experience. My first impression when coming here was that the hotel staff were enthusiastic and friendly, gave detailed instructions and quick check-in procedures. Lobby is clean and airy"
Worth a try,"Good service, cleanliness, airy space, big and beautiful hotel building, opposite is the blue beachEnthusiastic staff, very beautiful sea view roomThe blankets and mattresses are soft and I really like the bathroom.Overall it's worth the experience everyone should try....."
Havana,"The hotel is beautiful, luxurious and very good, the staff is attentive, always happy and enthusiastic, has many services and is comfortable. The direct view is quite great, the food is delicious and delicious. 100/10 VND hehe. ️❤️❤️❤️ ❤️❤️❤️❤️❤️❤️❤️❤️"
프리미어하바나 호텔 최고,"The counter staff is really friendly and nice.Because there is an Early Check In event, you can check in quickly. The building is very beautiful and neatGoing to the coast by tunnel is a new experience. If I find Nha Trang again, I will definitely go to Havana Hotel. 하바나호텔 최고"
Nha Trang Havana,"Room beautiful, clean and quietBreakfast is goodHotel has a tunnel to the beachThe staff named Luan is very kind and helped my family check in early. You can also upgrade yourself to 1 more room for free. If I have a chance, I will return to Havana ❤️❤️❤️"
좋은 숙소!,"There's the beach right in front, Bellboy is friendly, all the counter staff are friendly! I was worried if I could check in early but I did! The house is clean, the bed is comfortable, the lobby is cool and hot but I can also drink cool water in the lobby!"
Amazing,"This is a great hotel, the hotel has a beautiful and luxurious view, the staff is friendly, especially the three departments: tuanduc, songuyen, tieuluan, the rooms are really great, the staff are very welcoming. soon, we will come back for the next trip ☺️☺️🩷🩷"
Great Hotel,"The hotel was greatUpon entering the door, it was a wonderful scene. With the welcome and warmth of the hotel staff, the staff assisted very quickly, the receptionist also supported early check-in, it was truly impressive. very good upon arrival. Will definitely come back next time 😍😍😍😍"
Great deal,"The hotel is great, beautiful and luxurious, the staff are very friendly_ the staff always have a friendly signature, I like this hotel and I will come back for the next one* they come to me to receive the reception × *× that's great ❤️❤️❤️❤️❤️❤️❤️❤️"
Rate the experience,"Great experience, good service. Friendly staff, fast.View overlooking the sea, airy spaceHotel near the cityThere are many fun spotsThe room is clean, there are many amenities around, and enthusiastic support and advice. Will be back."
감사합니다,"These hotels are very friendly.Bellboy also welcomed us with a friendly and bright smile.It's so valuable that you don't even need to pay for a hotel roomThe ocean view is an immediately visible view so you can see straight into the feel of the resort!There are many amenities so it is very convenient to use at night.Filled with roses, it's wonderful장미꽃들로 가득차 아름다워요"
Havana good,Chau Luan's receptionist is very good. He let me check in early and even arranged a vegetarian breakfast for me. The people here are all friendly and enthusiastic. I will introduce my friends here. Thank you guys for giving me a wonderful vacation ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
좋아요,"Enthusiastic and friendly staff, clean hotel, airy space and many beautiful photo areas. 호텔이 너무 좋아요 나트랑에 또 오게되면 다시 오고싶은 호텔입니다. 놀거리도 가깝고 서비스도 친철하고 5성급 호텔입니다. 수영장도 좋고 헬스장도 너무 좋아요 바다도 바로 앞에있어서 뷰도 너무 좋습니다 교통편도 좋아서 돌아다니기 좋아요 😀 나중에 또 오겠습니다!"
HAVANA 5 stars,"Very good hotel! Located right in the center, walking distance to the agarwood tower or night market is also very close!I booked a room facing the city but was upgraded to a sea view for free, and also got early check-in at 11am. The receptionists are extremely enthusiastic!There are many choices for breakfast, Skylight is the best in the city"
Very friendly and carried my luggage for me. Welcome tea is delicious and the facilities are clean,"Very nice and friendly. I keep my luggage carefully and the facilities clean. I was very worried because I arrived early but thanks to the help of the early check-in person, I used it comfortably. Thank you.^^"
Experience great service,"The quality of the rooms has a great view, the breakfast is delicious, the restaurant staff is friendly and very attentive to the guests, Ms. Tram GR is very cute and beautiful, the beautiful Dzung happily welcomes all the services. everything is ok, in general, you should come here to experience it, it's very okielah everyone, please give me a heart 💕"
good very good,"I checked in and it was explained well and did it quickly, so it was a relaxing and comfortable trip. I want to use it and the welcome tea has a healthy ginger flavor. There is an observatory, so I will visit again to see this scene."
굿,"The lobby has a nice atmosphere and overall is clean and nice! If I come to Nha Trang, I think I will definitely come here to rest. There is a cafe on the first floor and you can buy accessories, there you can also buy traditional Vietnamese clothes, very convenient and beautiful that you can't miss. no need to go far!!"
Free!!! More then awesome :),"My company had a wonderful vacation in Havana Nha Trang.The welcoming and check-in staff are very professional. Manager Ny is very enthusiastic in advising on everything and supporting our group very thoughtfully <3Diverse breakfast buffet, clean rooms, beautiful view swimming pool, sauna,... in general, excellent service. In particular, there is also an extremely classy tunnel across the sea. There is no need to cross traffic roads, so it is very convenient.Thank you Havana for giving our unit an extremely memorable experience!!!"
Great vacation,"My friends and I had a wonderful vacation at the hotel. The reception staff are wonderful and funny. Everyone is friendly, making your stay feel comfortable. A great meal when there's enough food. In particular, there is a unique tunnel to the sea. This was a great experience."
Feedback Havana Spa,"Các chị bên Havana spa làm cho tôi vô cùng chuyên nghiệp, các bả vai cổ tôi đã giảm đau, cảm thấy thư giãn và quan tâm hỏi han rất tuyệt vời. Xin cảm ơn Havana spaNhất định khi ghé lại Nha Trang sẽ lựa chọn Spa của Havana để tiếp tục trải nghiệm. Giá thành xứng đáng với chất lượng"
"Một chuyến du lịch Nha Trang đầy thú vị, và một trải nghiệm nghỉ dưỡng tuyệt vời","Ở Havana thật sự đã mang lại cho tôi một trải nghiệm vô cùng tuyệt vời. Các nhân viên vô cùng thân thiệt, mặc dù tôi có một vài yêu cầu vào giờ khá khuya nhưng dịch vụ ở đây vẫn có thể đáp ứng cho tôi một các không thể chê vào đâu được. Đây xứng đáng là khách sạn tuyệt nhất ở Nha Trang. Amazingggg!!!!"
Rất đáng tiền !!!!,"Các anh chị lễ tân rất nhiệt tình , mình muốn ci sớm nhưng phòng chưa sạch , khoảng 10p sau các bạn đã hỗ trợ đổi p sạch cho mình ci . 100 điểm  Phòng ở đây hầu như đều thấy biển ,  trang thiết bị hiện đại đầy đủ , đặc biệc có bồn tắm sục view có thể thấy biển được luôn Ks còn có bố trí cả đường hầm đi ra biển mà kh cần băng qua đường , khá an toàn và thoải mái dành cho những người ngại mặc đồ bơi sang như mình . Mình đặt phòng có khu vực bếp từ , tủ lạnh và có cả bàn ăn với mình thích sofa ở đây , lớn và êm không như các ks khác decor loại nhỏ kiểu p mình đặt đi cùng bạn bè khá là tiệnnn . Recoment khách sạn này cho mng"
Kì nghỉ tuyệt vời,"Mình và bạn bè đã có 1 trải nghiệm đầy vui vẻ tại Havana Nha Trang. Khách sạn chất lượng, nhân viên thân thiện và gần gũi. Đặc biệt phòng view đẹp và thời tiết tuyệt vời. Mình nhất định sẽ quay lại cùng gia đình và bạn bè trong thời gian tới.  Cảm ơn khách sạn vì đã hỗ trợ, giúp đỡ chúng mình trong kì nghỉ vừa rồi."
Havana Hotel Beautiful,"Khách sạn phục vụ rất nhiệt tình, từ nhân viên Bellman đến Lễ Tân, đặc biệt có một anh lễ tân hình như tên Luân thì phải rất dễ thương hỗ trợ mình check in sớm. View đẹp, phòng đầy đủ tiện nghi. Mình rất ấn tượng với tunnel ra biển, kiến trúc rất độc đáo. Nói chung rất Impressed, một trải nghiệm tuyệt vời."
Tuyệt !,"Mọi thứ tuyệt vời !!! Nhưng có điều wifi rất tệ, không load nỗi bức hình, xe nắng chiếu rất nóng vì không có dán cách nhiệt ! Tuy nhiên vẫn cho 5* nhưng lần sau quay lại không thay đổi thì chỉ 1* thôi nhé !"
"Khách sạn thân thiện, dịch vụ nhanh chóng","Khách sạn to đẹp, nhân viên nhiệt tình chu đáo, đồ uống ngonLựa chọn hoàn hảo khi đến khách sạn, có đường hầm ra biểnCó kid club cho béCó skylight roof top bar xịn xòPhòng xông hơiHồ bơiPhòng tậpĐầy đủ tiện nghi sạch sẽ"
Chọn nơi đây quả là đúng đắn!!,"Lễ tân phục vụ rất tốt, cung cấp đầy đủ thông tin dịch vụ. Phòng đầy đủ tiện nghi, view biển đẹp. Gần trung tâm, gần biển. Có hỗ trợ nhận phòng sớm. Mọi dịch vụ đều nhanh nhẹn và hỗ trợ nhiệt tình, thoải mái"
Awsome,"Một trải nghiệm tuyệt vời. Mình đc up lên hạng phòng super delux. Nhân viên rất nhiệt tình. Không gian rất thoải mái. Buffet sáng ngon, đa dạng. Em bé nhà mình rất thích,, mình chắc chắn sẽ quay lại đây"
Tuyệt vời,"Một trải nghiệm khá tuyệt vời khi đến Havana.Phòng mình ở tâng 38, view trực diện biển rất đẹp.Diện tích phòng rộng, có phòng khách riêng.Tiện nghi rất đầy đủ, nọi thấy cảm giác khá xịn xò.Mình ko nghĩ với giá tiền bỏ ra lại được phòng xịn và rộng như thế.Gia đình mình gửi lời cảm ơn chị Ny quản lý cùng các bạn lễ tân đã hỗ trợ mình trả phòng trễ vì có bé nhỏ, hỏi thăm, chăm sóc rất chu đáo.Rất ấn tượng.❤️"
trải nghiệm tại khách sạn Havana,"khách sạn lớn nằm ở trung tâm đường biển, trước mặt là biển, thời tiết nha trang rất đẹp, nhân viên nói rằng tháng này trở đi thời tiết đẹp nhất . từ trên phòng nhìn ra biển rất đẹp, nhân viên ở đây thân thiện, nhiệt tình,. cũng có một số điểm về cơ sở vật chất của khách sạn, nhưng so ra với giá và chất lượng nhân viên thì tôi thấy hơn mong đợi."
"Dịch vụ khách sạn tốt, good hotel","Khách sạn nằm ở vị trí trung tâm thành phố, sạch sẽ, chu đáo, phục vụ tốt. nhân viên phục vụ nhiệt tình, Khách sạn view đẹp, sắp xếp phòng hợp lý. hài lòng về chất lượng dịch vụ khách sạn. nếu có dịp sẽ quay lại"
Trải nghiệp tuyệt với tại Havana,"Khách sạn ở vị trí trung tâm, thuận tiện. Khách sạn rỗng rãi, thoáng mát. Có đường hầm riêng biệt đi từ khách sạn qua đường ra bãi biển. Bãi biển sạch sẽ và đẹp. Rooftop Skylight có view đẹp để có thể ngắm nhìn TP Nha Trang."
rất đẹp,"Tôi cùng gia đình có lưu trú tại khách sạn havana trong tháng 3. Mọi thứ rất tuyệt vời từ lúc mới bước xuống khách sạn đến lúc nhận phòng, lên phòng chi tới khi trả phòng. Các bạn nhân viên rất nhiệt tình và thân thiện. Vị trí của havana cũng rất tốt khi sát biển và có đường hầm đi sang biển rất đặc biệt. Tôi sẽ quay lại."
Khách sạn chất lượng,"Khách sạn tốt,  trang thiet bi hien dai, nhân viên chu đáo, nhiệt tình,  phuc vu rat tot đạt chuẩn 5 sao. Phòng ốc sạch sẽ, hiện đại., view dep. Có đầy đủ tất cả các dịch vụ, giá cả phải chăng, món ăn ngon. Khách sạn nằm ở vị trí tttp nên thuận tiện việc đi lại. Chắc chan sẽ quay lại"
Havana Nha Trang,"Khách sạn nằm ngay mặt đường Trần Phú, trung tâm Nha Trang (gần ngay tháp trầm hương, chợ đêm).- Giá cả hợp lý, ngon, bổ, rẻ. Một lựa chọn tốt khi đến Nha Trang.- Nhân viên rất thân thiện và nhiệt tình.- Đầu bếp nấu ăn rất ngon, mình thấy món nào cũng ngon. Các bạn muốn ăn hải sản thì đặt trước với lễ tân, giá cả hợp lý, bao ngon. Nếu chán hải sản thì đặt cơm nhà ở đây cũng tuyệt.- Sảnh lễ tân: to, rộng, thoáng.- Phòng ở: rộng, thoáng, view biển, có bồn tắm.- Phòng tập gym ngay cạnh bể bơi. Có bể bơi, bể bơi trẻ em riêng. Nhưng nếu bể bơi là bể bơi vô cực thì tuyệt. Có khu vui chơi cho bé. Phòng xông hơi miễn phí.- Đặt biệt là có đường hầm riêng đi thẳng sang bãi tắm biển.- Phòng hội nghị, tổ chức Gala: có 4 phòng phù hợp với nhiều sự lựa chọn khác nhau.- Ăn sáng: nhà hàng ở tầng 2. Món ăn đơn giản nhưng rất ngon.- Có bar Skylines trên tầng thượng. Khách muốn lên bar thì mua vé tại lễ tân, có lối đi riêng. Có Havana Club ở dưới đường hầm. Bạn nào thích ngắm TP từ trên cao thì lên Bar, bạn nào thích vui nhộn thì xuống Club."
Một trải nghiệm tuyệt vời khi đến HAVANA,"HAVANA nằm ở vị trí đắc địa ngay trung tâm thành phố, từ phòng nhìn ra có thể ngắm được view biển , view thành phố. Xung quanh còn có các điểm vui chơi giải trí lận cận có thể đi bộ để tham quan, ngắm cảnh , ăn uống ,hay các trung tâm thương mại ,vui choi giai tri , dac biệt gần khu quãng trường 2/4 nơi thường xuyên diễn ra các sự kiện .Các bạn nhân viên ở đây cũng rất niềm nở nhiệt tình, phục vụ rất chu đáo, nhanh chóng. đặc biệt mình thấy khâu vệ sinh ở đây làm rất kỹ , nhất là về vấn đề khăn  ( mình hay bị dị ứng với khăn của khách sạn) nhưng đây là nơi mình thấy yên tâm nhất . Đồ ăn ở đây thì bao ngon như cơm nhà nấu cực kì thích menu món ăn việt nam ở đây .Còn ai muốn đi bar mà ngại xa thì cứ ghé HAVANA luôn nhé, tầng cao nhất có SKIGHTLIGHT BAR . phong cảnh có thể nhìn toàn thành phỗ, thức uống lại vừa túi tiền , đặc biệt lại an toàn cho những bạn hay uống bia rượu nhiều có thể yên tâm về vấn đề đi lại ( mệt là về phòng ngủ luôn- vô cùng an toàn )"
Tôi yêu Havana,Tôi và chồng tôi đã có 1 kì nghĩ tuyệt vời tại Havana ! Mọi thứ đều ổn ! Phòng rất đẹp và có cả 2 view ! Ăn sáng ngon và đồ ăn rất nhiều ! Đặt biệt spa giảm giá đến 50% nên tôi rất hài lòng khi lưu trú tại đây! Lần sau tôi sẽ quay lại Havana nếu đến Nha Trang lần nữa
10 điểm cho sự hoàn hảo,"Một trong những lý do để mình chọn quay lại  Havana là nhân viên thân thiện, hoà đồng, dễ thương. Gia đình tôi đã có 1 kỳ nghĩ tuyệt vời ở đây. Nếu ra Nha Trang gia đình chúng tôi sẽ vẫn chọn Havana để lưu trú"
Du Lịch Nha Trang,"Tốt, dịch vụ tốt, thích hợp để cho gia đình lưu trú tiện lợi.Nhân viên thân thiện nhiệt tình, dọn phòng sạch sẽ Đường hầm bãi biển sạch sẽ tiện lợi. Mong lsau sẽ được ghé thăm Nha Trang và lưu trú tại khách sạn mình"
Chào Giáng sinh 2022-2023,"Khách sạn thân thiện, lễ phép, phục vụ tốt và chu đáo, món ăn ngon hợp khẩu vị chuẩn 5*View đẹp hơn nếu đi vào mùa hè tắm biển, mùa đông phù hợp với nghỉ dưỡng và chơi lễ, phòng ốc chất lượng,Cảm ơn bạn Phương đã giúp đỡ!"
Đáng để trải nghiệm,"Đội ngũ nhân viên thân thiện, làm việc có tâm. Cơ sở vật chất sang trọng, chất lượng. Đồ ăn ngon, đảm bảo vệ sinh. Đặc trưng nhất của khách sạn là đường hầm ra biển. Sẽ quay trở lại ở kì ngủi tiếp theo."
Nơi đáng ở tại Nha Trang,"Khách sạn đẹp, nhân viên nhiệt tình, lịch sự, chu đáo. Hỗ trợ khách thuê tận tình. Bảo vệ dễ thương. Phòng rộng, thoáng mát, nhìn được quảng trường. Khách nước ngoài ở nhiều. Phòng ăn rộng rãi, sáng sủa"
Quá tuyệt vời,"Khách sạn view ngay biển, có đường hầm băng qua biển. Ks có view rất đẹp. Phòng ốc tốt.Nhân viên phải nói cực kỳ, cực kỳ dễ thương. Hỗ trợ cho khách nhận phòng sớm, luôn luôn quan tâm, tươi cười với kháchGia đình mình có kỳ nghỉ trọn vẹn, chắc chắn sẽ quay lại nơi này."
Cảm ơn sự nhiệt tình,"Tôi nhận được sự chăm sóc và hỗ trợ nhiệt tình từ a Huy Concierge từ trước chuyến đi 1 tuần, từ di chuyển đến ăn uống, sức khỏe của cả đoàn vì thời tiết Nha Trang những ngày này nắng mưa thất thường. Cảm ơn vì sự nhiệt tình của a Huy. Nếu có dịp đến NT nữa tôi sẽ vẫn chọn Havana Hotel làm nơi nghỉ dưỡng."
Havana NhaTrang,"Nhân viên ở đây rất nhiệt tình, phòng được dọn mỗi ngày rất sạch sẽ. Đặc biệt nhà hàng ở đây rất đa dạng đồ ăn mà lại hợp khẩu vị, đặc biệt giá lại rẻ. Nếu có dịp đi Nha Trang  mọi người nên ở Havana nhé. Được các bạn lễ tân nhiệt tình chỉ chỗ ăn uống rất ngon và rẻ. Cảm ơn Havana đã cho tôi có trải nghiệm tuyệt vời ở đây"
Khách sạn Havana Nha Trang tuyệt vờii,"Chất lượng hơn những gì mong đợi, phòng sạch đẹp gọn gàng. Nhân viên hỗ trợ nhiệt tình, thân thiện, đồ ăn nhà hàng oke . Nếu có dịp nhất định sẽ ghé lại Havana Nha Trang Hotel . Gần các tiện ích như siêu thị, quảng trường, chợ đêm và Đặc biệt có đường hầm thông qua biển ❤️"
Du lịch cùng gia đình,"Dịch vụ tốt. Vừa đến nơi đã được các anh chị mời uống nước chanh sả thơm ơi là thơm . Các anh lễ tân tư vấn nhiệt tình, chu đáo . Không khí kiểu yên tĩnh , nhạc nhẹ , sang . Sẽ quay lại vào lần tiếp theo"
Holiday with love,"Lần này đi Nha Trang quyết tâm ở Havana để trải nghiệm thử đường hầm thông ra biển, quả thật quá tiện cho các bạn nữ nếu mặc bikini ngại qua đường. Mình check in trễ không có nv hỗ trợ hành lý nhưng có 1 bạn lễ tân nam rất dễ thương ra xách giúp mình và còn hỗ trợ lên tận phòng, bạn còn hướng dẫn mình ăn đêm bún riêu và quán xôi đối diện rất ngon nha. Cảm ơn bạn lễ tân Luân và các bạn nhân viên của khách sạn đã cho mình 1 kì nghỉ tuyệt vời nhé!!"
Nghĩ dưỡng,"Mình ở Hotel Havana Nha Trang 3 ngày 2 đêm , được đi Skylight rất sang trọng và còn được bạn gì đó tên Luân lễ tân rất chuyên nghiệp và nhiệt tình hướng dẫn ăn uốngKhách sạn Havana Nha Trang rất đáng để nghĩ dưỡng"
Chất lượng điểm 10,"Điểm ấn tượng đầu tiên là bảo vệ rất lịch sự và tận tình. Tiếp đến là Cô lễ tân thì khỏi phải chê, thủ tục check in nhanh gọn lẹ, hướng dẫn cụ thể, còn đưa tiễn đến tận thang máy. Ngoài ra, Lễ tân còn giới thiệu 1 số quán ăn địa phương uy tín để tránh bị chèo kéo, chặt chém, ngon- bổ- rẻ View biển đẹp, yên bình, thơ mộng. Buffet sáng đa dạng món, ngon, hợp khẩu vị. Tóm là là 10 điểm. Địa điểm đáng để thử khi đến Nha Trang"
