JbGkU,orRIx
,
"Nhà hàng thân thiện, view ổn","Uyên Lê phục vụ nhiệt tình, chu đáo, vui vẻ, nhanh nhẹn. Món ăn ngon và lên rất nhanh, bắt đầu từ những món khai vị như salad, bánh mì, sau đó là thịt bò, mỳ ý, pizza, cuối cùng là tráng miệng. Mình rất thích Tiramisu ở đây, mình đánh giá 9/10. Tổng quan cả phục vụ và đồ ăn 9/10o"
nhân viên tốt,"nhân viên quá tốt , thân thiện với mọi người đồ ăn ngon view siêu đẹp được hoà mình vào thiên nhiên và thấy được khỉ khắp nơi trên resort có các dịch vụ lặn biển , câu cá,… siêu siêu đẹp nếu vó dịp tôi phải quay lại đây bởi vì đây là 1 trong những khách sạn tốt nhất việt nam."
Vietnam Destination Wedding Congress,"Tôi và đội ngũ The Planners đã có 3 ngày 2 đêm thật tuyệt vời khi nghỉ dưỡng và tham dự sự kiện Vietnam Destination Wedding Congress tại ICDN. Không gian nghỉ dưỡng quá đẹp, tất cả các bữa ăn đều tuyệt vời. Chúng tôi được take care rất kĩ càng từ đội ngũ của ICDN trong mọi mặt. Rất vui mừng khi sự kiện đã là tiền đề tạo sự phát triển cho tiệc cưới du lịch tại Việt Nam!!!"
Best Resort In Vietnam,"Resort có kiến trúc đẹp, không gian trong lành và thoải mái, service chuyên nghiệp, nhanh chóng và thân thiện, phòng rộng rãi, nhiều tiện ích, luôn trong trạng thái sạch sẽ, ngăn nắp.  Cảm ơn IC Đà Nẵng đã cho chúng tôi những trải nghiệm tuyệt vời."
Very good,Resort 10 điểm không có nhưng . Nhân viên tận tâm chuyên nghiệp nhiệt tình có tâm vô cùng. Bạn Lý ( Ly ) tại nhà hàng hải sản nướng sát biển và anh Sơn phụ trách dưới biển tuyệt vời luôn. Quá là ok ko có từ gì để chê trách. 😍😍😍 nói chung là perfect!!!!!
My interesting vacation at Intercontinental,"A day of experience at Intercontinental Danang was very interesting. There are many things here that impress me: the resorts are located on the peninsula and there are many monkeys, and the cable car transportation is very strange. All the staff here are very kind, lovely and enthusiastic. Especially Lan Vu. If I have a chance to come back, I will recommend this place to everyone ❤️❤️"
Barefoot is a friendly seafood restaurant with enthusiastic staff. We hope to have the opportunity to come back here. Thank you Intercontinental Da Nang Den,"Beautiful view, friendly and lovely staff, my husband and I are very impressed with Barefoot restaurant. Delicious food, friendly smiles, everyone is welcoming. As soon as I arrived, I was very happy to be warmly welcomed. The scene is also very beautiful, the romantic sea view, the sun is a bit harsh today but the restaurant is cool and the water is delicious and suits my taste. Fresh lobster and delicious sauce, hope to have a chance to come back. Thank you"
Tet at Intercon,"This Tet holiday, I went to Da Nang and had the opportunity to visit Intercon on Son Tra, a truly 6-star resort. Everywhere my family goes, the staff welcomes us. If we have the opportunity, we will come back and stay a few nights. I like the playground. It's the first time I've seen the staff at the children's playground being so dedicated. My son didn't want to leave. The employees are beautiful and skillful. Very pleased. Thank you everyone here, Tu, Linh and Thu."
Great experience at the Lounge Bar,"Very beautiful view, professional staff, especially Hieu Tran Lounge Bar, who mixes delicious drinks, speaks charmingly, and has experience mixing drinks to suit the guest's mood. Will visit Intercontinental a few more times with my family"
Family vacation,"The service staff is very good, firstly at the reception we met VO TINH, next we met Tien who was very cute and Hieu at the Club restaurant who was very cheerful and thoughtful helped us to be most impressed. In general, the other children serving are also cute and enthusiastic, so we want to come back here to rest every year."
trip at the end of 2023,"A thoughtful year-end trip with family and friends, the air is really fresh, my mother loves the pho at Citron restaurant, it's more special than other places she's eaten, all the staff Everyone here is very wonderful, they always smile and greet us, making us feel like we are vacationing at home. Thank you all, see you next year!"
10 points,"My family stayed here for 3 days and 2 nights and was very impressed with the service of the staff here. This afternoon, when I stopped by Long Barr, I was served by a very enthusiastic staff member named Huong Huynh. The photographer was super thoughtful. , will come back Intercon Da Nang"
More then awesome,"It's hard to find a point to criticize InterContinental Danang. To be fair, it's worth every penny spent.From the landscape, rooms, staff to the food, everything is wonderfulA huge plus point is that the Resort cares and respects the living space of surrounding wild animals. 10 points, no buts."
Service,Friendly and cheerful staff. Good service.The view of nature and the sea is beautiful. Light and airyAll are beautiful . A beautiful and fun memory with friends.Had really good and interesting experiences.
Good Trips and Amazing Service,"- Once again, I came back and experienced the Intercontinental Danang Hotel- Intercontinental Danang Hotel is a very beautiful hotel and very good in terms of services, everyone should come to experience the majestic scenery and beautiful space of Intercontinental Hotel, it will not disappoint you.- Once again, thank you everyone for giving me a very good and very satisfying experience- I promise I'll come back one day soon"
A wonderful and classy experience,"A wonderful experience, from the beautiful location to the meticulous, detailed design of each area. Really impressed with the friendliness; Enthusiasm of all staff, they always ""hello"" with a smile on their lips. Especially Citron restaurant, the food and staff here are truly different, professional, friendly, and fast. Big thanks to Mr. Hai, manager here, you and your team are truly outstanding."
Cute,"Everywhere I like here, especially my kids really like the kids club area. Guided by Trinh, Linh, and Hoai, many activities were created for the children to enjoy. Parents are very happy and comfortable when coming here. Thank you"
Quality resort,"The girls at the play area are very dedicated, every day they do every hairstyle for my child, no matter what they like, they always beg to be allowed to play. On the last day, I still accepted to give up swimming to return to drawing. The service here is very high quality, even the baby area is completely different, every employee is considerate with customers. Especially those at the beach and restaurants, taking photos for you with all angles properly aligned, I also relax 👍Will definitely recommend Intercon DN to friends, and will bring my family next year.N. Anh sent his thanks to Ms. Tu, Ms. Thu, and Ms. Trinh at the amusement park. At the airport, he still reminded his father to write thank you to them."
5-star standard service,"3 days at Intercontinental Da Nang, great weather, beautiful resort architecture, 5-star service, 3 days here was much more satisfactory than in Nha Trang.Special thanks to Ms. Tu, Ms. Trinh, Ms. Hoai, Ms. Linh at the game area, the two children loved it, they woke up and asked to come down, had breakfast quickly so they could go down to play. Thanks to them, parents can relax and not have to worry about their children. Next time, I will prioritize coming to Intercontinental DN to visit you guys."
10 points,"5-star resort, my family and I had a wonderful evening at Barefoot and Long bar. Thank you Thu tran and Huong hyung for taking good care of our house. There is nothing better. We will come back. if you have a chance"
shhdhdjdjd,"The resort has many beautiful scenery, my children can play at the kid's club all day, Ms. Trinh and Ms. Linh are very fun and humorous. Good service, the long bar restaurant has a super nice view, there are some interesting cocktails, Huong pvu is ok, Will come back for more"
Thank you ladies at kid club Intercon Da Nang,"Your children's summer vacation is complete thanks to a vacation at Intercon Da Nang. Special thanks to the girls at kid club, the children spent 3 days playing here, were well taken care of by the girls, and participated in many toy making activities. Mom promised to let her children come play with the aunts next time.Thank you to Ms. Tu, Ms. Trinh, Ms. Hoai, and Ms. Linh."
Memorable experience,"The hotel is designed in a unique architectural style, combining European modernity and traditional Vietnamese cultural beauty. The villa has a private beach and swimming pool, from which you can admire the majestic natural scenery of Son Tra peninsula. In particular, my family received thoughtful care from two brothers, Hero Nguyen and Stevn. The two of them were very friendly and cheerful and helped my family take beautiful photos to preserve memories of this trip. Thank you both very much."
Great Trip,"Great vacation. Service is very good and food is delicious!! Thank you, Butler Hai, for taking care of the family so thoughtfully. Highly recommend. The beach and swimming pool are both very close to the room and clean. The service staff at the swimming pool (a Dong) is very enthusiastic"
Memorable vacation for my family and will definitely come back. GD I want to experience more solution services at IC.,"The trip to Da Nang was so wonderful, a vacation and planned 1 day in advance for a 1 week trip. We had the opportunity to stay at IC for 2 nights, this time was our family's second return. IC's service is truly great, 5* for the enthusiastic service style of the staff from the receptionist to the staff. From IC's service staff to IC's workers, wherever we go, we hear the sound of HELLO and always have a bright smile on our faces.Thank you IC for contributing to my family's memorable vacation. Trung Dao is a name I cannot help but mention during the last vacation because of his professionalism, professional enthusiasm, and dedication to IC's development. More than that, it is about preserving the entire Son Tra nature reserve. Mr. Trung introduced entertainment services to his family, provided more information about Son Tra peninsula, asked questions, and took care of his family very enthusiastically and thoughtfully. Thanks to him, I learned a lot more about During IC's entertainment activities, he taught my child swimming techniques, how to breathe to increase endurance, and other activities, so my family felt very excited.Memorable vacation for my family and will definitely come back."
Great,"Tu, Thu, Hoai, Linh in the children's area are very happy and take care of the children, many beautiful and modern toys, the children love to play, there is a game machine for the older two, 11 years old, the younger one likes to draw. , made toys and was very excited.Hotel with quality service in all aspects. However, more electric vehicles need to be arranged. It's hot and having to wait 15 minutes in the hot sun is not good for children and the elderly."
Great,"The hotel area has majestic landscape, close to nature, unique and beautiful designDedicated, friendly staff, very thoughtful customer service. It was the first time I rode a cable car with a unique design. The staff in the cable area were friendly and always happily welcomed me and my family warmly.I also really like the girls at the amusement park, Ms. Tu, Linh, Trinh love children and are gentle with customers. Cong at the beach restaurant is also thoughtful and polite. If I have a chance, I will choose to come back because of the great service"
Intercontinental Danang family trip,"The trip to Da Nang was so wonderful, choosing Intercontinental Da Nang, my family had 3 fun days together. Sincerely thank the staff for their dedication, always smiling and saying Hello when meeting guests, asking about the family anytime, anywhere to make sure we have the best time. Especially thank you to the teachers at the children's play area, they are so wonderful, the children really enjoy playing with them, thank you Ms. Hoai, Ms. Tu, Ms. Trinh and Ms. Linh, you will come back. Thank you Hien and Dong at the swimming pool, thoughtfully asking and serving towels thoughtfully for the whole family.See everyone again at Intercontinenta Danang"
Great,"Great space, 5-star friendly service, Xuan Long bar staff is very enthusiastic and attentive, thank you Intercontinental Danang for making my vacation more perfect. 😁😁 will definitely come back"
"Great service, the best quality Kids club area","This year the family returned to Da Nang and still chose Intercon, the service quality will forever be the number 1 class in Vietnam. The children did not forget to go to the Kid club area to visit the girls and were kept occupied by the girls with many exciting activities. Ms. Tu still remembered the children, Ms. Trinh guided the children in making toys, this was truly the perfect choice. Perfect for your children's summer. I will definitely bring my family back."
Short business trip,"Although this time I came to the hotel for a different purpose than the previous times, which was to relax, but I still found it worthy of being an impressive destination. From the reception staff to the restaurant staff, you are all professional, very thoughtful and dedicated, especially the swimming pool staff Hien Nguyen.Thank you team."
"Dịch vụ sang trọng, nhân viên niềm nở chu đáo","Dịch vụ và mọi thứ rất tốt, chuẩn dịch vụ sang trọng, từ lễ tân đến nhà hàng, dịch vụ phòng, nhân viên rất tỉ mỉ và chu đáo. Ở một lần thì lại muốn quay lại lần nữa. Nói chuyện với các bạn nhân viên thấy được tinh thần nhiệt huyết với công việc rất đáng ngưỡng mộ. Tôi gởi lời cảm ơn đến bạn Thịnh đã đưa đón chăm sóc gia đình chu đáo, lên lịch sẵn sàng cho cả nhà, gọi đâu có đó. Rồi tôi cũng rất ấn tượng với các bạn Tú và Trinh tại khu vui chơi cho trẻ, các bạn làm việc rất có tâm với các cháu. Hy vọng gia đình sẽ quay lại sớm."
Cực kì ấn tượng,"Tôi cùng gia đình lên kế hoạch cho một chuyến nghĩ dưỡng, và quyết định chọn InterContinental danang resort cho kế hoạch này, không ngoài dự đoán dịch vụ trên cả tuyệt vời, cảnh vật rất  đẹp và ngoài ra, rất cảm ơn bạn Ly Pham, phục vụ rất chu đáo, trò chuyện cùng bạn rất vui, bạn đã hướng dẫn tôi rất nhiều chổ tham quan dưới phố thật thú vị, cảm ơn vì bạn đã giúp kì nghĩ của tôi cùng gia đình thêm vui vẻ và trọn vẹn"
Very nice,"Tien pham. Nghia hồ bơi thật vui vẻ hoa fđồng. Nhiệt tình. Mọi thứ đều tuyệt vời. Chụo ảnh rất đẹp. Nhân viên thân thiện. Đồ ăn ngon quá. Kid  vui vẻ. Vỉew đẹp, cô Hoài. Trinh, Thư vui vẻ, nhiệt tình ….."
Nhân viên Intercon ĐN trên cả tuyệt vời,"Khách sạn Intercontinental Đà Nẵng thật sự là tuyệt tác. Mình vừa mới ở đây 2 đêm, dịch vụ thì trên cả tuyệt vời, từ dịch vụ phòng đến nhà hàng và các trò chơi giải trí trên biển, nhân viên ở đây luôn vui vẻ và nói Xin chào mỗi khi gặp khách, rất là Việt Nam.Mình gởi lời cảm ơn đến bạn Tú, Trinh, Linh ở Kid club, bạn Anh trên lễ tân bạn Ly tại Long bar, bạn Đông quản lý ở biển đã chăm sóc cho kì nghỉ của gia đình mình được trọn vẹn. Mình chăc chắn sẽ quay lại."
Phúc is the Bes,"Tuyệt vời. Rất thích sự phục vụ của bạn Phúc. He is the best , cảm ơn Bạn Phúc đã cho gia đình một kỳ nghỉ thật đầm ấm và vui vẻ. We all have you Phúc. Resort rất đẹp và riee Biệt. Tôi rất thích và sẽ quay lại"
Rất tận hưởng,"Mình đến đây cùng gia đình, thật sự đây là một nơi nghỉ dưỡng vô cùng lý tưởng cho các gia đình. Cảm ơn anh Nguyên võ đã nhiệt tình phục vụ bữa sáng ngày cuối cùng của em ở resort. Rất thích nơi đây và mong có dịp sẽ được quay trở lại."
Dịch vụ,"Thiên nhiên trong lành , kiến trúc ấn tượng , nhân viên thân thiện và chu đáo , tôi rất ấn tượng với dịch vụ của bạn Nghĩa ở hồ bơi . Bạn ấy rất nhiệt tình với gia đình chúng tôi . Tôi rất hạnh phúc khi đến đây"
Best kids club,"Kids club có nhiều hoạt động mình rất thích, có đàn piano có nhiều sách khi chán có thể đọc, ngoài ra còn có các hoạt động ngoài trời, nhân viên trinh linh tú an chơi với các em mình rất vui, nhất định sẽ quay lại nếu có dịp"
Intercon Đà Nẵng thêm một trải nghiệm,"Lần này bé nghỉ hè vào Đà Nẵng chơi nên lại vào ở 2 đêm, mùa hè nắng nóng nhưng vẫn tuyệt hơn mùa bão. Gặp lại các bạn nhân viên, nhiều bạn nhớ ra và chào mình, cảm giác thấy vui. Đợt này ở không lâu, chủ yếu cho con vào chơi trong kid club, gặp lại cô Tú vui thật tình, có người nói chuyện, trong kid club thì như thiên đường, mát lạnh. Lần này có thêm nhiều trò chơi mới cho bé nhà mình, cô Tú, Trinh cô Linh cũng rất nhiệt tình chơi với bé. Chồng mình thì tranh thủ ra biển chơi chèo thuyền, kayak, đi lặn ngắm san hô, biển Intercon khỏi chê, đẹp, yên tĩnh. Đợt này xui cái khỉ vào phòng, mở cửa ra ngoài ngồi uống nước rồi vào quên đóng, đi biển về mới phát hiện ra, may mắn không mất gì ngoài mấy gói bim bim của bé. Nên mới nói mỗi lần đi là một trải nghiệm. Nhưng mình vẫn thích ở Imtercon Đà Nẵng, thích nhân viên ở đây."
Khách sạn dịch vụ tuyệt vời,"Ở đây cái gì cũng đẹp cũng tốt, thiết kế khách sạn hai màu đen trắng chủ đạo mình thấy khá là đặc biệt, nhưng phòng hơi tối, sàn phòng tắm nếu không cẩn thận thì rất dễ bị trượt té, may mắn là mình có gọi lên lễ tân góp ý thì các bạn cho lắp thêm một bóng đèn nữa, chứ không đám trẻ chạy nhảy dễ bị đụng té. Hồ bơi đẹp nhưng có vẻ không đủ chỗ cho tất cả khách, nhà mình đi bơi sớm nên không sao chứ thấy nhiều khách khác đến không có chỗ lại đi ra biển, mà biển thì nắng không tả nổi, trời Đà Nẵng không ngờ nắng nóng đến vậy. Ngoài ra thì dịch vụ rất là tốt, mình hài lòng với chuyến đi này, nhân viên ân cần nhiệt tình, ngày hôm sau đến lại nhà hàng hay hồ bơi các bạn nhớ mình đã tới, chào hỏi tận tình, xếp cho bàn Nón Lá để chụp hình, nhưng mà nóng quá ăn sáng cũng không thoải mái cho lắm.Đám trẻ thì cực thích khu kid club, ăn vội ăn vàng.chạy xuống sớm để chơi, các cô cũng khéo, dễ thương, nhớ hết tên cả 5 đứa, thích các cô nên có chịu đi với ba mẹ đâu. Gần về còn nhắc mẹ viết đánh giá cho các cô, ghi lại tên các cô (Tú, Trinh, Linh) lần sau còn quay lại thăm các cô. Nên đi chơi đâu chọn khách sạn phải có khu kid club, ba mẹ cũng an nhàn.Ngày về các bạn trên sảnh còn tặng quà cho, dịch vụ quá tuyệt vời."
"Vui, rất hài lòng","Chúng tối đã đến Resort InterContinental DaNang Sun vào đầu tháng 7 vừa rồi,tôi đi 2 người,phòng khá rộng,không gian thoáng mát,sạch sẽ phục vụ chu đáo.Đặc biệt em Hiền nhân viên hồ bơi chụp hình hơi bị siêu đỉnh😍😍 thân thiện lại vui tính🥰🥰Nói chung nơi này 10 điểm cho mấy bạn nhân viên phục vụ nè!Chúng mình dự định sẽ ghé tiếp vào chiến du lịch tiếp theo ạ!"
Resort sang trọng và đẳng cấp,"Nhân viên nhiệt tình, resort sang trọng có biển và núi bao quoanh, gần gũi thiên nhiên, phòng đẹp nhìn ra biển sau lưng là núi, luôn có những chú khỉ bên trong khu nghỉ dưỡng, một nơi đáng để bạn thử đến và trải nghiệm"
Tiên cảnh Trần gian,Thật không thể tin nỗi bằng mắt mình.khách sạn nằm vị trí đẹp như tiên cảnh. Dịch vụ tuyệt vời nhân viên thân thiện.bãi biển nước txanh trong vắt với rất nhiều dich vụ giải trí. Sẽ sớm quay lại.hồ bơi đẹp . Ăn sáng đa dạng món ăn
Đúng là Resort tiêu chuẩn 5*+ và đẳng cấp hàng đầu thế giới,"Đây là một Resort trên cả tuyệt vời, lần đầu tiên tôi ở và trải nghiệm ở thật không thể diễn tả hết vẻ đẹp lộng lẫy và một đội ngũ nhân viên thân thiện và phục vụ chu đáo và giàu lòng biết ơn, chúng tôi chỉ biết nói lời cảm ơn và sẽ trở lại Resort một ngày gần nhất.Xin chân thành cảm ơn ban lãnh đạo của Resort."
Interesting experience!,"Nhà mình đã có 2 đêm ở ksan mỹ mãn. Gửi lời cảm ơn tới bạn Thảo tổng đài tư vấn rất nhiệt tình nên nhà mình đã có những hoạt động rất vui, nhà mình người Bắc nên gặp được người Bắc trong này rất vui luôn. Tuy nhiên mình chưa hài lòng với đồ ăn lắm!!!!!!!!!!"
Trải nghiệm 1 ngày Daycation thật tuyệt vời ở Intercontinental Danang Sun Peninsula Resort,"Trải nghiệm 1 ngày Daycation thật tuyệt vời ở Intercontinental Danang Sun Peninsula Resort. May mắn không cần đi sâu vào rừng mà vẫn được ngắm gia đình 6 em Voọc chà vá chân nâu cực dễ thương khi ngồi nghỉ ở gần phòng triễn lãm tranh của anh Bill. Gặp người anh quen trong ngành khách sạn và được anh đón tiếp thật nồng hậu. Lần thứ 3 trở lại nơi này, trước Covid và sau Covid, mọi thứ vẫn ""đỉnh"" như lần đầu tiên, biển vẫn đẹp, dịch vụ vẫn xuất sắc, mọi chi tiết nhỏ vẫn chỉnh chu. Gói Daycation rất tốt cho gia đình, cặp đôi, bạn bè trải nghiệm resort đẳng cấp này. Tuy nhiên mình có hơi ""sốc"" khi bị tính 335k cho 1 bình trà xanh nhỏ gọi thêm khi ăn trưa ở Citron!  Long Bar cũng ấn tượng như lần đầu mình biết, mọi người có thời gian chơi bida rất vui. Hồ bơi và Jacuzzi thì nhà mình không dùng. Nhân viên phục vụ ở bãi biển rất nhiệt tình chụp hình giùm gia đình. Mình và gia đình sẽ trở lại khi có dịp đến Đà Nẵng. Đặc biệt gửi lời cám ơn đến anh Ngô Việt Phương và em Đông 🥰."
Kì nghỉ tuyệt vời tại Intercontinental,"Chúng tôi vừa có trải nghiệm tuyệt vời tại villa 103 Intercontinental. Phải nói không gian, vị trí ngoài sức tưởng tượng của chúng tôi. Nhân viên thân thiện, hiếu khách. Đặc biệt là quản gia của chúng tôi là Hải(Mochi). Hải đã giúp và cung cấp nhiều thông tin, kinh nghiệm ăn uống tại Đà Nẵng để chuyến đi của chúng tôi hoàn hảo hơn. Nhất định sẽ quay lại vào một ngày gần nhất. Cám ơn Mochi và team Intercontinental rất nhiều"
Hạnh phúc,em raats hài lòng về sự tận tình của Intercontinental Da Nang cùng với sự take care nhiệt tình của anh Hải ạ! Gia đình em đã có một lễ kỉ niệm 20 năm ngày cưới vô cùng đáng nhớ và nhiều tiếng cười tại Intercontinental Da Nang. Chắc chắn sẽ quay lại nơi đây ♥️
Khu nghỉ dưỡng tuyệt nhất,"Xuất sắc, tuyệt vời, đỉnh của đỉnhLà những từ phải sử dụng để diễn tả sự đẳng cấp của resort Intercontinental Đà Nẵng.Bạn Hải quản gia, chăm sóc gia đình chu đáo, đã giúp cho chúng tôi mọi sự giúp đỡ từ bé đến lớn. Rất ấn tượng với bạn"
Nice,"Resort tốt nhất Việt Nam, có thể nói là tốt nhất Châu Á. Tất cả mọi thứ đều nằm vượt sự tưởng tượng, khung cảnh tuyệt đẹp, phục vụ tận tình, thức ăn sáng quá ổn và phong phú. Cảm ơn bạn Hải Quản gia, đã chăm sóc cả nhà rất tốt. Sẽ có thể yêu cầu bạn Hải làm người chăm sóc cho đợt ở tiếp theo"
"Thật sự tuyệt vời, 100/10","Lần đầu tiên đến với Intercont Đà Nẵng, cảnh quan và thiết kế thật sự đã làm mình choáng ngợp. Các bạn nhân viên đến từ Inroom đã cực kì nhiệt tình phục vụ gia đình tôi ăn tối, và còn phải cảm ơn bạn Quản gia Hải, quản gia riêng của gia đình, đã quá tận tình và nhiệt huyết, ngoài sự mong đợi.Chắc chắn sẽ quay lại trong tương lai sớm nhất!!!"
Một kỳ nghỉ đáng nhớ nhất trong đời,"Trải nghiệm tuyệt vời khi đến đây. Nhân viên resort nhiệt tình, chu đáo, take care khách kĩ lưỡng. Các dịch vụ vui chơi giải trí rất tiện nghi. Quản gia Phúc thật tuyệt vời đã tận tâm chăm sóc gia đình. Rất muốn quay lại Intercontinental Đà Nẵng vào một ngày gần nhất"
Planet Trekkers,"khu vui chơi trẻ em Planet Trekkers có rất nhiều hoạt động thú vị , vui . Các cô rất nhiệt tình , chăm sóc tốt cho các em . Cảm giác như ở nhà .Cô Linh , Tú , Trinh , Thư tiếp đón rất nồng nhiệt . Hẹn lần sau quay lại !!!!"
